city,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
gamba,-2.65,10.0,78.15,89,95,2.66,GA,1612670054
gobabis,-22.45,18.9667,66.92,78,0,6.29,NA,1612670017
fraga,41.5229,0.3489,45.0,81,90,13.8,ES,1612670055
tapiogyorgye,47.335,19.9528,33.8,86,90,11.5,HU,1612670055
camacha,33.0833,-16.3333,57.2,72,20,10.36,PT,1612669923
aykhal,66.0,111.5,-28.68,83,60,8.77,RU,1612669823
lavrentiya,65.5833,-171.0,-12.17,79,0,4.25,RU,1612670055
doha,25.2867,51.5333,69.8,83,0,5.75,QA,1612669920
lerwick,60.1545,-1.1494,33.8,64,90,18.41,GB,1612669817
taganak,6.0833,118.3,84.2,79,20,3.44,PH,1612670056
huarmey,-10.0681,-78.1522,71.37,76,100,7.29,PE,1612670056
peniche,39.3558,-9.3811,53.01,68,11,8.99,PT,1612670056
souillac,-20.5167,57.5167,77.0,94,40,3.44,MU,1612669819
bandar-e anzali,37.4727,49.4622,48.2,100,90,3.47,IR,1612670057
waxahachie,32.3865,-96.8483,46.4,76,75,5.75,US,1612670057
neiafu,-18.65,-173.9833,78.8,94,90,12.66,TO,1612669551
danielskuil,-28.1887,23.5395,62.82,91,4,8.55,ZA,1612670057
sao filipe,14.8961,-24.4956,68.56,75,19,15.08,CV,1612669796
ahipara,-35.1667,173.1667,68.07,69,97,1.57,NZ,1612669931
makakilo city,21.3469,-158.0858,78.8,44,1,13.8,US,1612670058
san patricio,28.017,-97.5169,64.4,67,1,5.75,US,1612669551
parana,-31.732,-60.5238,71.01,72,0,7.16,AR,1612669975
portland,45.5234,-122.6762,46.99,87,75,6.91,US,1612669419
tashtagol,52.7657,87.8894,25.32,93,0,3.56,RU,1612670058
port lincoln,-34.7333,135.8667,65.23,62,81,13.53,AU,1612669552
ayorou,14.7308,0.9174,74.25,20,97,8.88,NE,1612670058
witbank,-25.8713,29.2332,60.96,89,100,0.67,ZA,1612670059
bambous virieux,-20.3428,57.7575,80.01,94,40,3.44,MU,1612669545
sept-iles,50.2001,-66.3821,26.6,68,99,12.66,CA,1612670059
carman,49.4992,-98.0016,-18.4,63,25,9.22,CA,1612670059
marang,5.2056,103.2059,84.2,70,40,6.91,MY,1612670059
sorland,67.667,12.6934,33.06,92,41,13.47,NO,1612670060
fort nelson,58.8053,-122.7002,-25.6,68,1,2.3,CA,1612669508
tucuman,-26.8241,-65.2226,80.6,54,75,9.22,AR,1612670061
katobu,-4.9408,122.5276,87.91,61,100,6.15,ID,1612670061
leningradskiy,69.3833,178.4167,-11.29,73,9,5.7,RU,1612670061
makushino,55.2103,67.2442,12.61,94,100,22.91,RU,1612670061
coquimbo,-29.9533,-71.3436,59.0,82,0,4.61,CL,1612669988
sao felix do xingu,-6.6447,-51.995,72.82,94,100,1.01,BR,1612670061
karratha,-20.7377,116.8463,84.88,44,0,13.27,AU,1612669785
campbellton,48.0075,-66.6727,19.4,68,3,12.66,CA,1612670062
mecca,21.4267,39.8261,64.13,55,0,5.86,SA,1612670062
kloulklubed,7.0419,134.2556,82.4,89,75,12.66,PW,1612670062
yenagoa,4.9247,6.2642,77.9,92,15,3.33,NG,1612669820
maralal,1.0968,36.698,56.01,88,1,3.38,KE,1612670063
mirabad,30.4362,61.8383,58.46,26,0,6.44,AF,1612670064
saldanha,-33.0117,17.9442,66.2,88,2,5.75,ZA,1612670064
ancud,-41.8697,-73.8203,59.0,67,0,3.44,CL,1612670065
bereda,43.2686,-7.5406,36.0,100,78,1.01,ES,1612670065
rumford,44.5537,-70.5509,24.01,64,9,5.03,US,1612669790
aksu,41.1231,80.2644,37.9,60,100,2.33,CN,1612670065
ilulissat,69.2167,-51.1,28.4,40,0,23.02,GL,1612670018
labuhan,-6.8844,112.2051,83.21,80,10,16.44,ID,1612670065
seryshevo,51.0933,128.3786,-8.81,87,8,6.22,RU,1612670065
porto walter,-8.2686,-72.7439,74.43,90,100,1.12,BR,1612670065
monrovia,6.3005,-10.7969,75.2,100,40,4.59,LR,1612670066
beitbridge,-22.2167,30.0,73.36,84,100,11.32,ZW,1612670066
geri,35.1,33.4167,48.2,93,75,3.44,CY,1612670066
flin flon,54.7682,-101.865,-31.11,82,1,8.75,CA,1612670066
mponela,-13.5319,33.7401,64.51,95,100,5.7,MW,1612670066
tikrit,34.6071,43.6782,56.37,84,100,5.41,IQ,1612670066
geraldton,-28.7667,114.6,75.2,69,90,21.85,AU,1612670033
narsaq,60.9167,-46.05,44.6,31,75,17.27,GL,1612670066
atbasar,51.8,68.3333,7.79,93,100,24.85,KZ,1612669522
robertsport,6.7533,-11.3686,78.89,86,70,3.47,LR,1612670067
kiama,-34.6833,150.8667,75.2,60,75,13.8,AU,1612670067
montepuez,-13.1256,38.9997,70.27,99,100,1.95,MZ,1612670002
sekoma,-24.4,23.8833,66.27,91,85,9.75,BW,1612670067
ruteng,-8.6136,120.4721,73.49,89,98,2.73,ID,1612669552
iskateley,67.6803,53.1512,-25.94,85,100,13.94,RU,1612670067
carbajales,15.5167,-86.35,75.2,88,20,3.44,HN,1612670068
rondonopolis,-16.4708,-54.6356,72.63,77,95,1.23,BR,1612670068
cockburn town,21.4612,-71.1419,77.16,78,0,22.1,TC,1612669641
opuwo,-18.0607,13.84,69.48,43,92,3.11,NA,1612669795
fuxin,42.0156,121.6589,19.49,69,0,14.99,CN,1612670068
umm kaddadah,13.6017,26.6876,54.68,40,0,12.91,SD,1612669823
kenai,60.5544,-151.2583,16.0,86,90,3.44,US,1612670068
dudinka,69.4058,86.1778,-35.73,80,0,8.75,RU,1612670068
west lafayette,40.4259,-86.9081,17.6,73,90,10.36,US,1612670068
saint george,37.1041,-113.5841,52.0,24,1,3.44,US,1612669522
edson,53.5835,-116.4356,-14.8,76,1,2.3,CA,1612670069
matara,5.9485,80.5353,81.79,72,82,3.33,LK,1612669966
zambezi,-13.5432,23.1047,65.57,96,100,7.49,ZM,1612670069
quilmana,-12.95,-76.3833,71.17,75,100,2.1,PE,1612670069
tual,-5.6667,132.75,83.89,79,100,21.32,ID,1612670069
ponta delgada,37.7333,-25.6667,59.0,94,75,17.27,PT,1612669793
richmond,37.5538,-77.4603,46.99,46,40,8.05,US,1612669950
ostrovnoy,68.0531,39.5131,6.96,92,100,10.76,RU,1612670069
havre-saint-pierre,50.2334,-63.5986,26.6,93,90,34.52,CA,1612670069
namibe,-15.1961,12.1522,70.88,80,61,2.17,AO,1612670069
khandyga,62.6667,135.6,-19.73,84,89,1.72,RU,1612670070
plettenberg bay,-34.0527,23.3716,66.58,82,50,6.8,ZA,1612669539
nicoya,10.1483,-85.452,80.6,65,0,10.36,CR,1612669783
hambantota,6.1241,81.1185,78.8,94,0,8.05,LK,1612670070
parang,7.3704,124.2697,86.2,56,100,0.69,PH,1612670070
lompoc,34.6391,-120.4579,51.01,93,40,4.47,US,1612669868
christchurch,-43.5333,172.6333,68.0,64,0,23.02,NZ,1612670070
vila velha,-20.3297,-40.2925,73.4,88,90,6.91,BR,1612669616
nantucket,41.2835,-70.0995,37.99,75,1,9.22,US,1612669851
batticaloa,7.7102,81.6924,80.58,81,18,12.08,LK,1612670071
prado,-17.3411,-39.2208,77.29,90,100,12.64,BR,1612670071
dalby,-27.1833,151.2667,91.99,45,61,3.0,AU,1612670071
puerto leguizamo,-0.1934,-74.7819,73.11,96,100,1.43,CO,1612670071
klaksvik,62.2266,-6.589,35.6,64,75,17.27,FO,1612669874
liwale,-9.7667,37.9333,70.93,98,100,3.67,TZ,1612670071
honningsvag,70.9821,25.9704,27.81,94,100,25.32,NO,1612670071
muravlenko,63.7898,74.523,6.08,95,100,18.52,RU,1612670071
shasta lake,40.6804,-122.3708,59.0,31,1,4.61,US,1612670071
roma,43.2128,-75.4557,15.01,73,1,1.41,US,1612669949
veraval,20.9,70.3667,74.52,29,0,16.02,IN,1612670072
okha,53.5739,142.9478,6.78,94,100,11.45,RU,1612670072
nizhniy baskunchak,48.2198,46.8311,24.33,85,34,11.83,RU,1612670072
inhambane,-23.865,35.3833,76.59,87,92,7.31,MZ,1612670072
natal,-5.795,-35.2094,77.0,88,40,4.61,BR,1612669788
hienghene,-20.6833,164.9333,79.97,71,31,3.91,NC,1612670072
kutum,14.2,24.6667,45.1,56,6,8.01,SD,1612670014
vikulovo,56.8167,70.6107,27.16,97,100,23.6,RU,1612670072
grootfontein,-19.5667,18.1167,66.79,85,98,7.34,NA,1612670072
padang,-0.9492,100.3543,89.6,55,20,1.14,ID,1612670043
pangnirtung,66.1451,-65.7125,23.23,80,93,3.36,CA,1612669981
nhamunda,-2.1861,-56.7131,76.75,87,40,2.42,BR,1612670073
bismarck,46.8083,-100.7837,-7.6,59,1,6.91,US,1612669947
nkongsamba,4.9547,9.9404,65.82,86,79,1.83,CM,1612670073
manaus,-3.1019,-60.025,78.8,89,0,4.61,BR,1612669492
dongying,37.4564,118.4856,38.17,66,4,12.41,CN,1612670073
el obraje,14.0,-86.4333,69.28,82,0,1.77,HN,1612670073
ashcroft,50.7165,-121.2859,33.8,55,75,16.11,CA,1612669537
marsh harbour,26.5412,-77.0636,75.22,87,48,18.88,BS,1612670074
desaguadero,-16.5656,-69.0417,47.25,77,5,8.28,PE,1612670074
trelew,-43.249,-65.3051,58.41,65,44,15.75,AR,1612670074
cloquet,46.7216,-92.4594,-15.0,63,1,13.8,US,1612670074
huambo,-12.7761,15.7392,60.19,93,100,1.63,AO,1612669814
rozivka,46.9385,35.7724,25.66,86,96,8.43,UA,1612670074
bonavista,48.6499,-53.1147,39.0,100,91,8.05,CA,1612670074
oistins,13.0667,-59.5333,77.0,73,40,20.71,BB,1612670074
bobon,12.5246,124.5636,80.13,87,100,12.66,PH,1612670074
dunedin,-45.8742,170.5036,61.0,77,0,28.99,NZ,1612669449
mayumba,-3.432,10.6554,79.5,83,100,3.89,GA,1612670075
novyy urgal,51.0736,132.5642,-2.63,85,98,1.03,RU,1612670075
dalvik,65.9702,-18.5286,32.0,74,90,5.75,IS,1612670075
mitzic,0.7821,11.549,67.91,100,70,2.42,GA,1612670075
udachnyy,66.4167,112.4,-29.67,81,6,7.61,RU,1612669980
caravelas,-17.7125,-39.2481,77.45,89,100,7.74,BR,1612670075
airai,-8.9266,125.4092,74.03,75,56,5.39,TL,1612670076
grindavik,63.8424,-22.4338,33.8,60,0,14.97,IS,1612670076
mikun,62.3547,50.0771,-19.77,85,100,11.12,RU,1612670076
belmonte,-15.8631,-38.8828,77.0,88,20,4.61,BR,1612669802
dukat,62.55,155.55,0.64,90,100,12.3,RU,1612670076
sioni,41.9895,45.0239,37.4,75,0,3.44,GE,1612670076
kant,27.8,79.8,59.34,52,0,7.65,IN,1612670076
plavinas,56.6178,25.7255,-0.06,91,0,2.35,LV,1612670076
ayr,55.4627,-4.6339,35.6,75,75,16.11,GB,1612670076
nadadores,27.05,-101.6,59.59,32,0,3.04,MX,1612670077
non sung,15.1801,102.2569,82.0,83,0,4.61,TH,1612670077
hun,29.1268,15.9477,62.87,28,100,9.93,LY,1612670077
mankono,8.0586,-6.1897,75.69,81,96,5.93,CI,1612670077
kilindoni,-7.9139,39.6668,81.73,76,97,10.47,TZ,1612670077
melfi,40.9965,15.6514,55.4,33,0,8.05,IT,1612670077
dayong,25.0209,118.2898,71.6,60,0,4.47,CN,1612670077
sembabule,-0.0772,31.4567,63.27,75,44,2.51,UG,1612670078
shubarkuduk,49.1447,56.4872,11.75,95,95,9.44,KZ,1612670078
nemuro,43.3236,145.575,21.2,86,75,11.5,JP,1612670078
svetlaya,46.5389,138.3297,14.02,83,83,7.76,RU,1612670078
totma,59.9747,42.7642,-12.37,88,100,8.28,RU,1612670078
honiara,-9.4333,159.95,78.33,87,100,7.87,SB,1612670078
katsuura,35.1333,140.3,61.0,47,0,8.05,JP,1612669941
matadi,-5.8167,13.45,77.79,89,100,3.2,CD,1612670078
wladyslawowo,54.7909,18.4009,15.01,92,0,4.61,PL,1612670078
takaka,-40.85,172.8,68.4,53,17,4.81,NZ,1612670079
beringovskiy,63.05,179.3167,-8.41,90,72,10.49,RU,1612670079
innisfail,-17.5333,146.0333,87.1,69,85,8.77,AU,1612670079
twentynine palms,34.1356,-116.0542,55.99,22,1,5.75,US,1612670079
sobolevo,54.4299,31.8996,-6.07,91,43,7.49,RU,1612670079
owando,-0.4819,15.8999,72.73,90,57,4.07,CG,1612670079
gazanjyk,39.2446,55.5154,46.02,81,100,9.6,TM,1612670079
le vauclin,14.5452,-60.8388,75.2,88,75,14.97,MQ,1612670079
margate,51.3813,1.3862,36.0,86,100,5.99,GB,1612670080
monduli,-3.3,36.45,64.4,88,75,5.75,TZ,1612670080
luangwa,-15.6167,30.4167,71.11,93,100,1.45,ZM,1612670080
bull savanna,17.8868,-77.5902,73.54,88,13,12.15,JM,1612670080
cochrane,51.1834,-114.4687,-7.6,77,90,4.61,CA,1612669940
nizhnevartovsk,60.9344,76.5531,33.8,93,90,13.42,RU,1612670080
cairns,-16.9167,145.7667,90.0,74,100,10.36,AU,1612669537
kanashevo,55.2169,62.0634,10.4,79,75,17.9,RU,1612670080
lodja,-3.4833,23.4333,71.46,89,100,1.54,CD,1612670080
nikki,9.9401,3.2108,71.2,24,0,2.68,BJ,1612670080
abbeville,50.1,1.8333,34.0,84,100,13.49,FR,1612669942
iralaya,15.0,-83.2333,78.04,82,0,10.02,HN,1612670081
ciechocinek,52.8791,18.7951,10.99,84,75,1.01,PL,1612669820
eureka,40.8021,-124.1637,46.99,87,26,1.99,US,1612670081
vaitape,-16.5167,-151.75,82.6,68,1,11.25,PF,1612670081
bethlehem,-1.4558,-48.5044,78.8,89,0,4.61,BR,1612670081
artyom,40.4723,50.333,44.6,81,0,9.22,AZ,1612670081
nidzica,53.3605,20.4275,-9.4,77,0,6.98,PL,1612670081
sola,-13.8833,167.55,87.8,71,75,3.29,VU,1612669794
strezhevoy,60.7333,77.5889,33.8,93,90,13.42,RU,1612670082
hirara,24.8,125.2833,75.2,69,20,9.22,JP,1612670082
muros,42.7762,-9.0603,43.0,93,40,3.44,ES,1612670082
avera,33.194,-82.5271,39.2,93,90,10.36,US,1612670082
giyon,8.5333,37.9833,58.42,71,97,7.74,ET,1612670082
xai-xai,-25.0519,33.6442,76.01,81,100,2.13,MZ,1612670082
agirish,61.9247,63.0231,-18.09,88,100,12.48,RU,1612670082
payakumbuh,-0.2202,100.6308,82.72,60,100,2.59,ID,1612670082
comodoro rivadavia,-45.8667,-67.5,57.2,72,40,8.05,AR,1612669502
sarkand,45.41,79.9186,37.2,87,100,4.25,KZ,1612670082
baykit,61.67,96.37,21.54,94,100,6.58,RU,1612670083
taoudenni,22.6783,-3.9836,57.42,40,43,9.69,ML,1612670083
vanimo,-2.6741,141.3028,81.82,82,99,7.2,PG,1612670083
nouadhibou,20.931,-17.0347,60.8,72,0,20.71,MR,1612670083
mandalgovi,45.7625,106.2708,15.28,81,0,8.32,MN,1612670020
sibolga,1.7427,98.7792,87.39,55,25,3.85,ID,1612669946
los llanos de aridane,28.6585,-17.9182,60.8,63,0,4.61,ES,1612670083
sioux lookout,50.1001,-91.917,-16.6,63,90,12.66,CA,1612670083
otaru,43.1894,141.0022,34.0,74,75,21.85,JP,1612670083
strzelce krajenskie,52.8773,15.5298,19.99,51,100,11.99,PL,1612670084
hervey bay,-25.2986,152.8535,89.6,48,18,14.97,AU,1612670084
gat,31.61,34.7642,54.0,100,0,1.92,IL,1612669476
gao,16.6362,1.637,71.37,19,100,11.1,ML,1612669825
laguna,38.421,-121.4238,52.0,71,1,3.47,US,1612670084
saravan,39.7196,45.6483,28.4,86,20,6.91,AM,1612670084
jumla,29.2747,82.1838,46.13,45,0,5.44,NP,1612670084
santa fe,-31.6333,-60.7,71.01,72,0,6.55,AR,1612670084
fergus falls,46.283,-96.0776,-16.6,69,1,6.91,US,1612670084
aurillac,44.9167,2.45,41.0,93,100,9.22,FR,1612670084
hualmay,-11.0964,-77.6139,70.86,78,100,6.6,PE,1612669933
general roca,-39.0333,-67.5833,73.4,73,0,3.44,AR,1612670085
yakima,46.4665,-120.6678,51.8,37,1,27.63,US,1612670085
erenhot,43.6475,111.9767,13.95,93,0,8.39,CN,1612670085
abu dhabi,24.4667,54.3667,68.0,60,0,16.11,AE,1612669817
pochutla,15.7432,-96.4661,78.01,82,4,3.0,MX,1612670085
kangaatsiaq,68.3065,-53.4641,23.77,87,0,16.62,GL,1612670085
montes claros,-16.735,-43.8617,68.14,94,100,6.8,BR,1612670085
makokou,0.5738,12.8642,70.47,92,83,3.11,GA,1612670085
west wendover,40.7391,-114.0733,51.8,20,1,24.16,US,1612670016
matay,28.419,30.7792,52.32,91,0,5.61,EG,1612670086
onguday,50.75,86.15,21.87,88,66,5.19,RU,1612670086
eyl,7.9803,49.8164,75.67,77,53,13.91,SO,1612670086
champerico,14.3,-91.9167,63.0,93,0,6.11,GT,1612670086
vestmanna,62.1564,-7.1664,35.6,60,75,16.11,FO,1612670086
moa,20.6569,-74.9403,75.16,87,6,10.42,CU,1612670086
bonthe,7.5264,-12.505,76.48,83,5,3.71,SL,1612670086
visby,57.6409,18.296,26.6,80,90,6.91,SE,1612670086
muyezerskiy,63.9333,31.65,12.94,96,100,8.79,RU,1612670086
itarema,-2.9248,-39.9167,76.89,87,14,8.28,BR,1612670087
poum,-20.2333,164.0167,80.89,67,0,6.96,NC,1612669974
riyadh,24.6877,46.7219,55.4,71,0,8.05,SA,1612669844
cuitlahuac,18.8167,-96.7167,75.99,94,1,4.61,MX,1612670087
conde,-7.2597,-34.9075,78.8,83,0,3.44,BR,1612670000
breves,-1.6822,-50.4803,74.77,95,5,4.18,BR,1612670088
namatanai,-3.6667,152.4333,85.6,65,75,7.85,PG,1612669980
iberia,29.9502,-91.7507,57.99,94,90,6.38,US,1612670088
santa isabel,-23.3156,-46.2214,66.2,88,40,3.44,BR,1612670088
lincoln,40.8,-96.667,3.99,81,79,1.01,US,1612670013
chara,56.9064,118.2631,-7.96,76,40,1.21,RU,1612670088
hovd,48.0056,91.6419,14.83,85,0,2.26,MN,1612670089
tuatapere,-46.1333,167.6833,67.32,57,5,7.36,NZ,1612670089
maragogi,-9.0122,-35.2225,76.89,86,18,8.3,BR,1612670089
puerto palomas,31.7667,-107.6167,48.2,21,1,6.91,MX,1612670089
moose factory,51.2585,-80.6094,-5.8,77,90,5.75,CA,1612669502
nhulunbuy,-12.2333,136.7667,82.4,83,75,14.97,AU,1612670089
ambovombe,-25.1667,46.0833,78.35,88,28,5.48,MG,1612670089
yacuiba,-22.038,-63.6797,71.4,58,36,2.73,BO,1612670089
qasigiannguit,68.8193,-51.1922,28.4,40,0,23.02,GL,1612670089
mount pleasant,32.7941,-79.8626,46.4,100,90,4.61,US,1612669375
ewa beach,21.3156,-158.0072,78.8,44,1,13.8,US,1612669981
okhotsk,59.3833,143.3,6.15,87,97,23.53,RU,1612670090
imbituba,-28.24,-48.6703,71.6,73,0,4.61,BR,1612669824
dubbo,-32.25,148.6167,80.6,36,40,8.05,AU,1612670090
tura,25.5198,90.2201,71.2,39,100,2.62,IN,1612670090
broken hill,-31.95,141.4333,75.2,41,0,16.11,AU,1612669814
porto novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1612669535
asosa,10.0667,34.5333,55.56,33,26,6.89,ET,1612669826
harlingen,26.1906,-97.6961,61.0,100,1,6.91,US,1612669947
hasaki,35.7333,140.8333,64.0,29,20,5.75,JP,1612669920
